checking_account_status,duration,credit_history,purpose,amount,savings_account_status,employment_years,installment_rate,personal_status,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_credits,job,people_liable,telephone,foreign_worker,full_repaid
0_to_200,12,critical_account,domestic_appliances,1424,below_100,between_4_7,4,M_single,None,3,life_insurance  ,26,None,own,1,official,1,0,1,1
below_0,24,existing_credit_paid,business,6568,below_100,between_1_4,2,M_divorced,None,2,other,21,stores,own,1,unskilled,1,0,1,1
no_account,12,existing_credit_paid,car_used,1413,above_1000,between_4_7,3,M_single,None,2,life_insurance  ,55,None,own,1,official,1,0,0,1
no_account,9,critical_account,radio_TV,3074,unknown,between_1_4,1,M_single,None,2,real_estate ,33,None,own,2,official,2,0,1,1
no_account,36,existing_credit_paid,radio_TV,3835,unknown,above_7,2,F_not_single,None,4,real_estate ,45,None,own,1,unskilled,1,1,1,1
below_0,27,no_credit_taken,business,5293,below_100,unemployed,2,M_single,None,4,life_insurance  ,50,stores,own,2,official,1,1,1,0
above_200,30,delay_in_paying,business,1908,below_100,above_7,4,M_single,None,4,real_estate ,66,None,own,1,management,1,1,1,0
no_account,36,critical_account,radio_TV,3342,unknown,above_7,4,M_single,None,2,other,51,None,own,1,official,1,1,1,1
0_to_200,6,critical_account,retraining,932,unknown,between_4_7,1,F_not_single,None,3,life_insurance  ,39,None,own,2,unskilled,1,0,1,1
below_0,18,no_credit_taken,business,3104,below_100,between_4_7,3,M_single,None,1,life_insurance  ,31,bank,own,1,official,1,1,1,1
above_200,36,existing_credit_paid,radio_TV,3913,below_100,between_1_4,2,M_single,None,2,real_estate ,23,None,own,1,official,1,1,1,1
below_0,24,existing_credit_paid,furniture_equipment,3021,below_100,between_1_4,2,M_divorced,None,2,real_estate ,24,None,rent,1,unskilled,1,0,1,1
no_account,10,existing_credit_paid,car_new,1364,below_100,between_1_4,2,F_not_single,None,4,other,64,None,own,1,official,1,1,1,1
0_to_200,12,existing_credit_paid,radio_TV,625,below_100,below_1,4,M_divorced,guarantor,1,real_estate ,26,bank,own,1,unskilled,1,0,1,1
below_0,12,existing_credit_paid,education,1200,unknown,between_1_4,4,F_not_single,None,4,life_insurance  ,23,bank,rent,1,official,1,1,1,1
no_account,12,existing_credit_paid,radio_TV,707,below_100,between_1_4,4,M_single,None,2,real_estate ,30,bank,own,2,official,1,0,1,1
no_account,24,delay_in_paying,business,2978,unknown,between_1_4,4,M_single,None,4,real_estate ,32,None,own,2,official,2,1,1,1
no_account,15,existing_credit_paid,car_used,4657,below_100,between_1_4,3,M_single,None,2,other,30,None,own,1,official,1,1,1,1
no_account,36,no_credit_taken,repairs,2613,below_100,between_1_4,4,M_single,None,2,other,27,None,own,2,official,1,0,1,1
0_to_200,48,existing_credit_paid,radio_TV,10961,above_1000,between_4_7,1,M_single,co_applicant ,2,no_property,27,bank,own,2,official,1,1,1,0
below_0,12,existing_credit_paid,furniture_equipment,7865,below_100,above_7,4,M_single,None,4,no_property,53,None,free,1,management,1,1,1,0
no_account,9,existing_credit_paid,radio_TV,1478,below_100,between_4_7,4,M_single,None,2,other,22,None,own,1,official,1,0,1,0
below_0,24,existing_credit_paid,furniture_equipment,3149,below_100,below_1,4,M_single,None,1,no_property,22,bank,free,1,official,1,0,1,1
above_200,36,existing_credit_paid,radio_TV,4210,below_100,between_1_4,4,M_single,None,2,other,26,None,own,1,official,1,0,1,0
no_account,9,existing_credit_paid,car_new,2507,between_500_1000,above_7,2,M_single,None,4,no_property,51,None,free,1,unskilled,1,0,1,1
no_account,12,existing_credit_paid,radio_TV,2141,between_100_500,between_4_7,3,M_single,None,1,no_property,35,None,own,1,official,1,0,1,1
0_to_200,18,existing_credit_paid,radio_TV,866,below_100,between_1_4,4,M_divorced,guarantor,2,real_estate ,25,None,own,1,unskilled,1,0,1,1
no_account,4,critical_account,radio_TV,1544,below_100,between_4_7,2,M_single,None,1,real_estate ,42,None,own,3,unskilled,2,0,1,1
below_0,24,existing_credit_paid,radio_TV,1823,below_100,unemployed,4,M_single,None,2,other,30,stores,own,1,management,2,0,1,0
0_to_200,6,existing_credit_paid,car_new,14555,unknown,unemployed,1,M_single,None,2,life_insurance  ,23,None,own,1,unemployed,1,1,1,0
0_to_200,21,existing_credit_paid,business,2767,between_100_500,above_7,4,M_divorced,None,2,other,61,bank,rent,2,unskilled,1,0,1,0
no_account,12,critical_account,radio_TV,1291,below_100,between_1_4,4,F_not_single,None,2,life_insurance  ,35,None,own,2,official,1,0,1,1
below_0,30,existing_credit_paid,radio_TV,2522,below_100,above_7,1,M_single,guarantor,3,life_insurance  ,39,None,own,1,official,2,0,1,1
below_0,24,existing_credit_paid,car_new,915,unknown,above_7,4,F_not_single,None,2,other,29,bank,own,1,official,1,0,1,0
no_account,6,existing_credit_paid,radio_TV,1595,below_100,between_4_7,3,M_single,None,2,life_insurance  ,51,None,own,1,official,2,0,1,1
below_0,48,no_credit_taken,car_used,4605,below_100,above_7,3,M_single,None,4,no_property,24,None,free,2,official,2,0,1,0
no_account,12,critical_account,business,1185,below_100,between_1_4,3,F_not_single,None,2,real_estate ,27,None,own,2,official,1,0,1,1
no_account,12,all_credit_paid,retraining,3447,between_500_1000,between_1_4,4,F_not_single,None,3,real_estate ,35,None,own,1,unskilled,2,0,1,1
no_account,24,existing_credit_paid,business,1258,below_100,between_4_7,4,M_single,None,1,real_estate ,25,None,own,1,official,1,1,1,1
no_account,12,critical_account,radio_TV,717,below_100,above_7,4,M_single,None,4,real_estate ,52,None,own,3,official,1,0,1,1
no_account,6,no_credit_taken,car_new,1204,between_100_500,between_1_4,4,M_single,None,1,no_property,35,bank,rent,1,official,1,0,0,1
above_200,24,existing_credit_paid,furniture_equipment,1925,below_100,between_1_4,2,M_single,None,2,real_estate ,26,None,own,1,official,1,0,1,1
no_account,18,existing_credit_paid,radio_TV,433,below_100,unemployed,3,F_not_single,co_applicant ,4,real_estate ,22,None,rent,1,official,1,0,1,0
below_0,6,critical_account,car_new,666,above_1000,between_4_7,3,F_not_single,None,4,real_estate ,39,None,own,2,unskilled,1,1,1,1
above_200,12,existing_credit_paid,furniture_equipment,2251,below_100,between_1_4,1,F_not_single,None,2,other,46,None,own,1,unskilled,1,0,1,1
0_to_200,30,existing_credit_paid,car_new,2150,below_100,between_1_4,4,F_not_single,guarantor,2,no_property,24,bank,own,1,official,1,0,1,0
no_account,24,delay_in_paying,furniture_equipment,4151,between_100_500,between_1_4,2,M_single,None,3,life_insurance  ,35,None,own,2,official,1,0,1,1
0_to_200,9,existing_credit_paid,furniture_equipment,2030,unknown,between_4_7,2,M_single,None,1,other,24,None,own,1,official,1,1,1,1
0_to_200,60,delay_in_paying,radio_TV,7418,unknown,between_1_4,1,M_single,None,1,real_estate ,27,None,own,1,unskilled,1,0,1,1
no_account,24,critical_account,radio_TV,2684,below_100,between_1_4,4,M_single,None,2,real_estate ,35,None,own,2,unskilled,1,0,1,1
below_0,12,all_credit_paid,radio_TV,2149,below_100,between_1_4,4,M_divorced,None,1,no_property,29,None,free,1,official,1,0,1,0
no_account,15,existing_credit_paid,car_used,3812,between_100_500,below_1,1,F_not_single,None,4,other,23,None,own,1,official,1,1,1,1
no_account,11,critical_account,radio_TV,1154,between_100_500,unemployed,4,F_not_single,None,4,real_estate ,57,None,own,3,unskilled,1,0,1,1
below_0,12,existing_credit_paid,furniture_equipment,1657,below_100,between_1_4,2,M_single,None,2,real_estate ,27,None,own,1,official,1,0,1,1
below_0,24,existing_credit_paid,radio_TV,1603,below_100,above_7,4,F_not_single,None,4,other,55,None,own,1,official,1,0,1,1
below_0,18,critical_account,car_new,5302,below_100,above_7,2,M_single,None,4,no_property,36,None,free,3,management,1,1,1,1
no_account,12,critical_account,education,2748,below_100,above_7,2,F_not_single,None,4,no_property,57,bank,free,3,unskilled,1,0,1,1
no_account,10,critical_account,car_new,1231,below_100,above_7,3,M_single,None,4,real_estate ,32,None,own,2,unskilled,2,0,0,1
0_to_200,15,existing_credit_paid,radio_TV,802,below_100,above_7,4,M_single,None,3,other,37,None,own,1,official,2,0,1,0
no_account,36,critical_account,business,6304,unknown,above_7,4,M_single,None,4,real_estate ,36,None,own,2,official,1,0,1,1
no_account,24,existing_credit_paid,radio_TV,1533,below_100,below_1,4,F_not_single,None,3,other,38,stores,own,1,official,1,1,1,1
below_0,14,existing_credit_paid,car_new,8978,below_100,above_7,1,M_divorced,None,4,life_insurance  ,45,None,own,1,management,1,1,0,0
no_account,24,existing_credit_paid,radio_TV,999,unknown,above_7,4,M_single,None,2,other,25,None,own,2,official,1,0,1,1
no_account,18,existing_credit_paid,car_new,2662,unknown,between_4_7,4,M_single,None,3,life_insurance  ,32,None,own,1,official,1,0,0,1
no_account,12,critical_account,furniture_equipment,1402,between_500_1000,between_4_7,3,F_not_single,None,4,other,37,None,rent,1,official,1,1,1,1
0_to_200,48,all_credit_paid,car_new,12169,unknown,unemployed,4,M_single,co_applicant ,4,no_property,36,None,free,1,management,1,1,1,1
0_to_200,48,existing_credit_paid,radio_TV,3060,below_100,between_4_7,4,M_single,None,4,real_estate ,28,None,own,2,official,1,0,1,0
below_0,30,existing_credit_paid,repairs,11998,below_100,below_1,1,M_divorced,None,1,no_property,34,None,own,1,unskilled,1,1,1,0
no_account,9,existing_credit_paid,radio_TV,2697,below_100,between_1_4,1,M_single,None,2,real_estate ,32,None,own,1,official,2,0,1,1
no_account,18,critical_account,radio_TV,2404,below_100,between_1_4,2,F_not_single,None,2,other,26,None,own,2,official,1,0,1,1
below_0,12,existing_credit_paid,furniture_equipment,1262,unknown,above_7,2,M_divorced,None,4,life_insurance  ,49,None,own,1,unskilled,1,1,1,1
no_account,6,existing_credit_paid,furniture_equipment,4611,below_100,below_1,1,F_not_single,None,4,life_insurance  ,32,None,own,1,official,1,0,1,0
no_account,24,existing_credit_paid,radio_TV,1901,between_100_500,between_1_4,4,M_single,None,4,other,29,None,rent,1,management,1,1,1,1
no_account,15,critical_account,car_used,3368,above_1000,above_7,3,M_single,None,4,no_property,23,None,rent,2,official,1,1,1,1
no_account,12,existing_credit_paid,furniture_equipment,1574,below_100,between_1_4,4,M_single,None,2,real_estate ,50,None,own,1,official,1,0,1,1
above_200,18,all_credit_paid,radio_TV,1445,unknown,between_4_7,4,M_single,None,4,other,49,bank,own,1,unskilled,1,0,1,1
no_account,15,critical_account,furniture_equipment,1520,unknown,above_7,4,M_single,None,4,life_insurance  ,63,None,own,1,official,1,0,1,1
0_to_200,24,critical_account,car_new,3878,between_100_500,below_1,4,M_divorced,None,2,other,37,None,own,1,official,1,1,1,1
below_0,47,existing_credit_paid,car_new,10722,below_100,below_1,1,F_not_single,None,1,real_estate ,35,None,own,1,unskilled,1,1,1,1
below_0,48,existing_credit_paid,car_used,4788,below_100,between_4_7,4,M_single,None,3,life_insurance  ,26,None,own,1,official,2,0,1,1
0_to_200,48,delay_in_paying,others,7582,between_100_500,unemployed,2,M_single,None,4,no_property,31,None,free,1,management,1,1,1,1
0_to_200,12,existing_credit_paid,radio_TV,1092,below_100,between_1_4,4,F_not_single,guarantor,4,real_estate ,49,None,own,2,official,1,1,1,1
below_0,24,delay_in_paying,radio_TV,1024,below_100,below_1,4,M_divorced,None,4,real_estate ,48,stores,own,1,official,1,0,1,0
no_account,12,existing_credit_paid,business,1076,below_100,between_1_4,2,M_divorced,None,2,real_estate ,26,None,own,1,official,1,1,0,1
0_to_200,36,existing_credit_paid,car_used,9398,below_100,below_1,1,M_divorced,None,4,other,28,None,rent,1,management,1,1,1,0
below_0,24,critical_account,car_used,6419,below_100,above_7,2,F_not_single,None,4,no_property,44,None,free,2,management,2,1,1,1
above_200,42,critical_account,car_used,4796,below_100,above_7,4,M_single,None,4,no_property,56,None,free,1,official,1,0,1,1
no_account,48,critical_account,business,7629,unknown,above_7,4,M_divorced,None,2,other,46,bank,own,2,management,2,0,1,1
0_to_200,48,existing_credit_paid,furniture_equipment,9960,below_100,below_1,1,F_not_single,None,2,other,26,None,own,1,official,1,1,1,0
no_account,12,existing_credit_paid,car_used,4675,unknown,below_1,1,F_not_single,None,4,other,20,None,rent,1,official,1,0,1,1
no_account,10,existing_credit_paid,car_new,1287,unknown,above_7,4,M_single,co_applicant ,2,life_insurance  ,45,None,own,1,unskilled,1,0,0,1
no_account,18,existing_credit_paid,furniture_equipment,2515,below_100,between_1_4,3,M_single,None,4,real_estate ,43,None,own,1,official,1,1,1,1
0_to_200,21,critical_account,furniture_equipment,2745,above_1000,between_4_7,3,M_single,None,2,other,32,None,own,2,official,1,1,1,1
no_account,6,existing_credit_paid,car_new,672,below_100,unemployed,1,F_not_single,None,4,real_estate ,54,None,own,1,unemployed,1,1,1,1
0_to_200,36,no_credit_taken,radio_TV,3804,below_100,between_1_4,4,F_not_single,None,1,other,42,None,own,1,official,1,1,1,0
above_200,24,critical_account,car_new,1344,unknown,between_4_7,4,M_single,None,2,real_estate ,37,bank,own,2,unskilled,2,0,1,0
below_0,10,critical_account,car_new,1038,below_100,between_4_7,4,M_single,co_applicant ,3,life_insurance  ,49,None,own,2,official,1,1,1,1
no_account,48,critical_account,car_new,10127,between_500_1000,between_1_4,2,M_single,None,2,no_property,44,bank,free,1,official,1,0,1,0
no_account,6,existing_credit_paid,furniture_equipment,1543,above_1000,between_1_4,4,M_divorced,None,2,real_estate ,33,None,own,1,official,1,0,1,1
no_account,30,existing_credit_paid,car_used,4811,unknown,between_4_7,2,F_not_single,None,4,life_insurance  ,24,stores,rent,1,unskilled,1,0,1,1
below_0,12,existing_credit_paid,radio_TV,727,between_100_500,below_1,4,M_divorced,None,3,no_property,33,None,own,1,unskilled,1,1,1,0
0_to_200,8,existing_credit_paid,furniture_equipment,1237,below_100,between_1_4,3,F_not_single,None,4,real_estate ,24,None,own,1,official,1,0,1,0
0_to_200,9,existing_credit_paid,car_new,276,below_100,between_1_4,4,M_divorced,None,4,real_estate ,22,None,rent,1,unskilled,1,0,1,1
0_to_200,48,existing_credit_paid,others,5381,unknown,unemployed,3,M_single,None,4,no_property,40,bank,free,1,unemployed,1,1,1,1
no_account,24,existing_credit_paid,furniture_equipment,5511,between_100_500,between_1_4,4,M_single,None,1,other,25,stores,own,1,official,1,0,1,1
above_200,24,existing_credit_paid,furniture_equipment,3749,below_100,below_1,2,F_not_single,None,4,other,26,None,own,1,official,1,0,1,1
0_to_200,12,existing_credit_paid,car_new,685,below_100,between_4_7,2,M_divorced,None,3,other,25,bank,own,1,unskilled,1,0,1,0
above_200,4,existing_credit_paid,car_new,1494,unknown,below_1,1,M_single,None,2,real_estate ,29,None,own,1,unskilled,2,0,0,1
below_0,36,all_credit_paid,furniture_equipment,2746,below_100,above_7,4,M_single,None,4,other,31,bank,own,1,official,1,0,1,0
below_0,12,existing_credit_paid,furniture_equipment,708,below_100,between_1_4,2,M_single,guarantor,3,life_insurance  ,38,None,own,1,unskilled,2,0,1,1
0_to_200,24,existing_credit_paid,furniture_equipment,4351,unknown,between_1_4,1,F_not_single,None,4,life_insurance  ,48,None,own,1,unskilled,1,1,1,1
no_account,12,critical_account,education,701,below_100,between_1_4,4,M_single,None,2,other,32,None,own,2,official,1,0,1,1
below_0,15,delay_in_paying,furniture_equipment,3643,below_100,above_7,1,F_not_single,None,4,life_insurance  ,27,None,own,2,unskilled,1,0,1,1
0_to_200,30,critical_account,car_new,4249,below_100,unemployed,4,M_divorced,None,2,other,28,None,own,2,management,1,0,1,0
below_0,24,existing_credit_paid,radio_TV,1938,below_100,below_1,4,M_divorced,None,3,life_insurance  ,32,None,own,1,official,1,0,1,0
below_0,24,existing_credit_paid,car_used,2910,below_100,between_4_7,2,M_single,None,1,no_property,34,None,free,1,management,1,1,1,1
below_0,18,existing_credit_paid,furniture_equipment,2659,above_1000,between_1_4,4,M_single,None,2,other,28,None,own,1,official,1,0,1,1
no_account,18,critical_account,car_new,1028,below_100,between_1_4,4,F_not_single,None,3,real_estate ,36,None,own,2,official,1,0,1,1
below_0,8,critical_account,car_new,3398,below_100,between_4_7,1,M_single,None,4,real_estate ,39,None,own,2,unskilled,1,0,0,1
no_account,12,critical_account,furniture_equipment,5801,unknown,above_7,2,M_single,None,4,life_insurance  ,49,None,rent,1,official,1,1,1,1
no_account,24,existing_credit_paid,car_new,1525,above_1000,between_4_7,4,F_not_single,None,3,other,34,None,own,1,official,2,1,1,1
above_200,36,existing_credit_paid,radio_TV,4473,below_100,above_7,4,M_single,None,2,other,31,None,own,1,official,1,0,1,1
0_to_200,6,existing_credit_paid,radio_TV,1068,below_100,above_7,4,M_single,None,4,other,28,None,own,1,official,2,0,1,1
below_0,24,critical_account,car_used,6615,below_100,unemployed,2,M_single,None,4,no_property,75,None,free,2,management,1,1,1,1
no_account,18,critical_account,education,1864,between_100_500,between_1_4,4,F_not_single,None,2,real_estate ,30,None,own,2,official,1,0,1,0
0_to_200,60,existing_credit_paid,car_new,7408,between_100_500,below_1,4,F_not_single,None,2,life_insurance  ,24,None,own,1,management,1,0,1,0
no_account,48,critical_account,car_used,11590,between_100_500,between_1_4,2,F_not_single,None,4,other,24,bank,rent,2,unskilled,1,0,1,0
below_0,24,no_credit_taken,furniture_equipment,4110,below_100,above_7,3,M_single,None,4,no_property,23,bank,rent,2,official,2,0,1,0
below_0,6,critical_account,furniture_equipment,3384,below_100,between_1_4,1,M_divorced,None,4,real_estate ,44,None,rent,1,management,1,1,1,0
0_to_200,13,existing_credit_paid,radio_TV,2101,below_100,below_1,2,F_not_single,guarantor,4,life_insurance  ,23,None,own,1,unskilled,1,0,1,1
below_0,15,existing_credit_paid,domestic_appliances,1275,unknown,between_1_4,4,F_not_single,None,2,other,24,None,rent,1,official,1,0,1,0
below_0,24,existing_credit_paid,furniture_equipment,4169,below_100,between_1_4,4,M_single,None,4,life_insurance  ,28,None,own,1,official,1,0,1,1
0_to_200,10,existing_credit_paid,furniture_equipment,1521,below_100,between_1_4,4,M_divorced,None,2,other,31,None,own,1,unskilled,1,0,1,1
0_to_200,24,critical_account,education,5743,below_100,below_1,2,F_not_single,None,4,no_property,24,None,free,2,official,1,1,1,1
below_0,21,existing_credit_paid,furniture_equipment,3599,below_100,between_4_7,1,F_not_single,None,4,other,26,None,rent,1,unskilled,1,0,1,1
0_to_200,18,existing_credit_paid,radio_TV,3213,between_500_1000,below_1,1,M_divorced,None,3,real_estate ,25,None,rent,1,official,1,0,1,1
0_to_200,18,existing_credit_paid,business,4439,below_100,above_7,1,M_single,co_applicant ,1,real_estate ,33,bank,own,1,management,1,1,1,1
above_200,10,existing_credit_paid,car_new,3949,below_100,below_1,1,M_single,guarantor,1,life_insurance  ,37,None,own,1,unskilled,2,0,1,1
no_account,15,critical_account,radio_TV,1459,below_100,between_1_4,4,F_not_single,None,2,other,43,None,own,1,unskilled,1,0,1,1
0_to_200,13,critical_account,radio_TV,882,below_100,below_1,4,M_single,guarantor,4,real_estate ,23,None,own,2,official,1,0,1,1
0_to_200,24,existing_credit_paid,radio_TV,3758,between_500_1000,unemployed,1,F_not_single,None,4,no_property,23,None,rent,1,unemployed,1,0,1,1
no_account,6,delay_in_paying,business,1743,between_100_500,between_1_4,1,M_single,None,2,real_estate ,34,None,own,2,unskilled,1,0,1,1
0_to_200,9,critical_account,education,1136,above_1000,above_7,4,M_single,None,3,no_property,32,None,free,2,official,2,0,1,0
no_account,9,existing_credit_paid,domestic_appliances,1236,below_100,below_1,1,F_not_single,None,4,real_estate ,23,None,rent,1,official,1,1,1,1
0_to_200,9,existing_credit_paid,furniture_equipment,959,below_100,between_1_4,1,F_not_single,None,2,other,29,None,own,1,official,1,0,0,0
no_account,18,critical_account,car_used,3229,unknown,unemployed,2,M_single,None,4,no_property,38,None,own,1,management,1,1,1,1
below_0,12,no_credit_taken,radio_TV,6199,below_100,between_1_4,4,M_single,None,2,life_insurance  ,28,None,rent,2,official,1,1,1,0
no_account,10,existing_credit_paid,education,727,between_500_1000,above_7,4,M_single,None,4,no_property,46,None,free,1,official,1,1,1,1
0_to_200,24,existing_credit_paid,car_new,1246,below_100,below_1,4,M_single,None,2,real_estate ,23,stores,own,1,unskilled,1,0,1,0
no_account,12,critical_account,radio_TV,2331,unknown,above_7,1,M_single,co_applicant ,4,real_estate ,49,None,own,1,official,1,1,1,1
no_account,36,delay_in_paying,radio_TV,4463,below_100,between_1_4,4,M_single,None,2,other,26,None,own,2,management,1,1,1,0
no_account,12,existing_credit_paid,radio_TV,776,below_100,between_1_4,4,M_divorced,None,2,real_estate ,28,None,own,1,official,1,0,1,1
below_0,30,existing_credit_paid,furniture_equipment,2406,below_100,between_4_7,4,F_not_single,None,4,real_estate ,23,None,rent,1,official,1,0,1,0
0_to_200,18,existing_credit_paid,education,1239,unknown,between_1_4,4,M_single,None,4,no_property,61,None,free,1,official,1,0,1,1
above_200,12,existing_credit_paid,radio_TV,3399,unknown,above_7,2,M_single,None,3,other,37,None,own,1,management,1,0,1,1
above_200,12,delay_in_paying,car_new,2247,below_100,between_1_4,2,F_not_single,None,2,other,36,stores,own,2,official,1,1,1,1
no_account,6,existing_credit_paid,furniture_equipment,1766,below_100,between_1_4,1,M_divorced,None,2,life_insurance  ,21,None,rent,1,official,1,0,1,1
below_0,18,existing_credit_paid,furniture_equipment,2473,below_100,unemployed,4,M_single,None,1,other,25,None,own,1,unemployed,1,0,1,0
no_account,12,existing_credit_paid,business,1542,below_100,between_4_7,2,M_single,None,4,other,36,None,own,1,official,1,1,1,1
no_account,18,critical_account,car_used,3850,below_100,between_4_7,3,M_single,None,1,other,27,None,own,2,official,1,0,1,1
below_0,18,existing_credit_paid,furniture_equipment,3650,below_100,below_1,1,F_not_single,None,4,other,22,None,rent,1,official,1,0,1,1
below_0,36,existing_credit_paid,furniture_equipment,3446,below_100,above_7,4,M_single,None,2,other,42,None,own,1,official,2,0,1,0
0_to_200,18,existing_credit_paid,furniture_equipment,3001,below_100,between_4_7,2,F_not_single,None,4,real_estate ,40,None,rent,1,official,1,0,1,1
no_account,36,existing_credit_paid,car_new,3079,unknown,between_1_4,4,M_single,None,4,real_estate ,36,None,own,1,official,1,0,1,1
no_account,18,critical_account,radio_TV,6070,below_100,above_7,3,M_single,None,4,other,33,None,own,2,official,1,1,1,1
no_account,10,critical_account,furniture_equipment,2146,below_100,below_1,1,F_not_single,None,3,real_estate ,23,None,rent,2,official,1,0,1,1
no_account,60,critical_account,car_new,13756,unknown,above_7,2,M_single,None,4,no_property,63,bank,free,1,management,1,1,1,1
0_to_200,60,all_credit_paid,others,14782,between_100_500,above_7,3,F_not_single,None,4,no_property,60,bank,free,2,management,1,1,1,0
below_0,48,all_credit_paid,business,7685,below_100,between_4_7,2,F_not_single,guarantor,4,other,37,None,rent,1,official,1,0,1,0
no_account,18,delay_in_paying,radio_TV,2320,below_100,unemployed,2,M_divorced,None,3,real_estate ,34,None,own,2,official,1,0,1,1
no_account,7,delay_in_paying,radio_TV,846,unknown,above_7,3,M_single,None,4,no_property,36,None,free,1,official,1,0,1,1
0_to_200,36,existing_credit_paid,car_new,14318,below_100,above_7,4,M_single,None,2,no_property,57,None,free,1,management,1,1,1,0
no_account,6,critical_account,car_new,362,between_100_500,between_1_4,4,F_not_single,None,4,other,52,None,own,2,unskilled,1,0,1,1
below_0,20,existing_credit_paid,furniture_equipment,2212,unknown,between_4_7,4,M_single,None,4,other,39,None,own,1,official,1,1,1,1
0_to_200,18,existing_credit_paid,car_used,12976,below_100,unemployed,3,F_not_single,None,4,no_property,38,None,free,1,management,1,1,1,0
no_account,22,existing_credit_paid,car_new,1283,unknown,between_4_7,4,F_not_single,None,4,life_insurance  ,25,None,rent,1,official,1,0,1,1
above_200,12,existing_credit_paid,car_new,1330,below_100,below_1,4,M_single,None,1,real_estate ,26,None,own,1,official,1,0,1,1
no_account,30,delay_in_paying,business,4272,between_100_500,between_1_4,2,M_single,None,2,life_insurance  ,26,None,own,2,unskilled,1,0,1,1
no_account,18,critical_account,radio_TV,2238,below_100,between_1_4,2,F_not_single,None,1,other,25,None,own,2,official,1,0,1,1
no_account,18,existing_credit_paid,radio_TV,1126,unknown,below_1,4,F_not_single,None,2,real_estate ,21,None,rent,1,official,1,1,1,1
0_to_200,18,critical_account,furniture_equipment,7374,below_100,unemployed,4,M_single,None,4,life_insurance  ,40,stores,own,2,management,1,1,1,1
0_to_200,15,critical_account,business,2326,between_500_1000,between_1_4,2,M_single,None,4,other,27,bank,own,1,official,1,0,1,1
no_account,9,existing_credit_paid,business,1449,below_100,between_4_7,3,F_not_single,None,2,other,27,None,own,2,official,1,0,1,1
no_account,18,existing_credit_paid,car_new,1820,below_100,between_1_4,2,M_divorced,None,2,life_insurance  ,30,None,own,1,management,1,1,1,1
0_to_200,12,existing_credit_paid,furniture_equipment,983,above_1000,below_1,1,F_not_single,None,4,real_estate ,19,None,rent,1,unskilled,1,0,1,1
below_0,36,existing_credit_paid,car_new,3249,below_100,between_4_7,2,M_single,None,4,no_property,39,bank,free,1,management,2,1,1,1
below_0,6,critical_account,radio_TV,1957,below_100,between_4_7,1,F_not_single,None,4,other,31,None,own,1,official,1,0,1,1
no_account,9,critical_account,furniture_equipment,2406,below_100,unemployed,2,M_single,None,3,other,31,None,own,1,management,1,0,1,1
0_to_200,39,delay_in_paying,education,11760,between_100_500,between_4_7,2,M_single,None,3,no_property,32,None,rent,1,official,1,1,1,1
below_0,12,existing_credit_paid,furniture_equipment,2578,below_100,unemployed,3,F_not_single,None,4,no_property,55,None,free,1,management,1,0,1,1
below_0,36,critical_account,furniture_equipment,2348,below_100,between_1_4,3,M_divorced,None,2,life_insurance  ,46,None,own,2,official,1,1,1,1
0_to_200,12,existing_credit_paid,car_new,1223,below_100,above_7,1,M_divorced,None,1,real_estate ,46,None,rent,2,official,1,0,1,0
no_account,24,critical_account,radio_TV,1516,above_1000,between_1_4,4,F_not_single,None,1,real_estate ,43,None,own,2,unskilled,1,0,1,1
no_account,18,existing_credit_paid,radio_TV,1473,below_100,below_1,3,M_divorced,None,4,real_estate ,39,None,own,1,official,1,1,1,1
0_to_200,18,critical_account,business,1887,unknown,between_1_4,4,M_divorced,None,4,real_estate ,28,bank,own,2,official,1,0,1,1
no_account,24,delay_in_paying,business,8648,below_100,below_1,2,M_single,None,2,other,27,bank,own,2,official,1,1,1,0
no_account,14,delay_in_paying,car_new,802,below_100,between_1_4,4,M_single,None,2,other,27,None,own,2,unskilled,1,0,1,1
0_to_200,18,delay_in_paying,car_new,2899,unknown,above_7,4,M_single,None,4,other,43,None,own,1,official,2,0,1,1
0_to_200,24,existing_credit_paid,radio_TV,2039,below_100,below_1,1,M_divorced,None,1,life_insurance  ,22,None,own,1,official,1,1,1,0
no_account,24,critical_account,car_used,2197,unknown,between_4_7,4,M_single,None,4,other,43,None,own,2,official,2,1,1,1
below_0,15,existing_credit_paid,radio_TV,1053,below_100,below_1,4,M_divorced,None,2,real_estate ,27,None,own,1,official,1,0,0,1
no_account,24,existing_credit_paid,radio_TV,3235,between_500_1000,above_7,3,M_divorced,None,2,other,26,None,own,1,management,1,1,1,1
above_200,12,critical_account,car_new,939,between_500_1000,between_4_7,4,M_divorced,None,2,real_estate ,28,None,own,3,official,1,1,1,0
0_to_200,24,existing_credit_paid,radio_TV,1967,below_100,above_7,4,F_not_single,None,4,other,20,None,own,1,official,1,1,1,1
no_account,33,critical_account,car_used,7253,below_100,between_4_7,3,M_single,None,2,other,35,None,own,2,management,1,1,1,1
no_account,12,critical_account,business,2292,below_100,unemployed,4,M_single,None,2,other,42,stores,own,2,management,1,1,1,0
no_account,10,existing_credit_paid,car_new,1597,between_500_1000,between_1_4,3,M_single,None,2,no_property,40,None,rent,1,unskilled,2,0,0,1
